#{"t_start": 1551969621.16638, "env_id": "Baxter-v0"}
r,l,t
-8,44,96.043046
-5,64,213.206964
-9,31,273.531697
-52,73,411.029499
-17,50,500.860929
-4,42,581.089825
-6,24,628.223444
-6,67,753.270028
-3,37,826.659639
-27,68,951.058913
-7,65,1080.027139
-2,25,1126.703896
-7,37,1195.912608
-1,42,1277.479904
1,31,1336.598344
-1,51,1433.200956
-33,51,1529.213955
-4,38,1599.948368
-1,40,1673.191654
-7,88,1836.36738
-4,34,1899.105058
-4,27,1950.475375
-1,44,2031.164198
-4,30,2088.645449
0,42,2164.775938
-2,44,2247.521137
-71,87,2422.314626
-4,38,2494.718735
-1,35,2561.651074
-9,46,2651.024467
-61,62,2775.355469
-2,30,2832.579461
-1,51,2926.369293
0,28,2979.385528
-14,56,3086.142267
-5,49,3179.255878
-18,90,3356.138307
-2,74,3498.42044
-47,82,3650.528143
-32,71,3783.535725
-3,35,3851.829265
-13,38,3924.707678
-3,44,4007.91984
