#{"t_start": 1553959030.7763476, "env_id": "Baxter-v0"}
r,l,t
-8.451559,19,98.502276
-5.105763,11,162.960888
-3.199231,7,209.660385
-6.929657,13,272.045089
-10.660614,21,372.549707
-4.878681,9,419.680999
-16.317911,26,525.362821
-8.617149,15,597.351452
-7.997619,18,670.931622
-14.725368,24,751.147704
-6.335942,14,811.649751
-12.608951,26,907.338353
-4.355396,10,956.949384
-7.296765,18,1029.096621
-8.991164,18,1101.321031
-6.89117,14,1162.78809
-6.782077,18,1233.846047
-4.342492,11,1285.53445
-12.0194,26,1383.156161
-9.24566,27,1472.930754
-59.579292,85,1748.562303
-4.884343,11,1798.826517
-2.508982,5,1825.991332
-21.682747,46,1915.383248
-7.638974,13,1972.975518
-10.11754,18,2047.951065
-8.528276,14,2108.806516
-4.510896,11,2162.866364
-5.467801,13,2222.559891
-3.606959,9,2261.547988
-4.891526,10,2304.638216
-5.83464,10,2353.34473
-7.997322,19,2431.035229
-8.816623,21,2503.657718
-27.806983,44,2615.805742
-3.138104,6,2647.078378
-23.192446,59,2806.628331
-6.155202,12,2861.195008
-0.619571,1,2867.17553
-20.592937,43,3007.516317
-19.815891,35,3124.851057
-26.434537,69,3341.40518
-12.050422,21,3424.400511
-9.208756,16,3495.109879
-7.590617,15,3558.061149
-12.539429,22,3643.070117
-5.208691,11,3694.99876
-8.150196,15,3750.309679
-3.160028,7,3782.366537
-3.81848,7,3820.943358
-10.235433,21,3901.311176
-12.500585,21,3980.892748
-7.983249,16,4047.296999
-9.871356,25,4132.394191
-17.70072,31,4215.285637
-19.953948,33,4325.16711
-2.857202,7,4363.859406
-7.951207,24,4452.501331
-19.681699,44,4590.29628
-14.334932,24,4678.585157
-6.614179,12,4724.663543
-5.677622,11,4774.747628
-7.707388,13,4828.808883
-6.165765,14,4878.502525
-8.28746,19,4948.041017
-8.234161,18,5016.068961
-7.676345,18,5087.530329
-6.217128,13,5142.671886
-13.831148,27,5233.229539
-9.060933,15,5296.145125
-9.885189,24,5374.13411
-9.812676,24,5460.986893
-9.264263,17,5531.073692
-7.7878,16,5589.567386
-10.495813,20,5660.208277
-7.537738,18,5723.534612
-5.491906,10,5771.226589
-2.542187,5,5803.479703
-10.74478,21,5876.028738
-9.142707,22,5958.145126
-7.742366,15,6013.640646
-10.134719,18,6083.423882
-7.325363,16,6143.274957
-6.72535,16,6209.005637
-10.74124,18,6275.555063
-14.013687,22,6356.120995
-19.459904,33,6461.905979
-7.953563,13,6515.021705
-5.443929,11,6556.845968
-10.498336,23,6635.439911
-50.040735,101,6721.420802
-11.378682,31,6822.025241
-17.727012,36,6943.494515
-5.976662,12,7000.908528
-5.624817,17,7066.885031
-7.655041,12,7114.295857
-1.949988,4,7144.407936
-7.125116,15,7206.603591
-4.197524,10,7253.652373
-6.188064,12,7298.775875
-13.234787,28,7392.759901
-5.747351,14,7451.910304
-19.977657,35,7572.169096
-8.905797,17,7632.803485
-10.941001,23,7716.015902
-11.567586,25,7804.117933
-7.558663,13,7859.96356
-15.077773,27,7932.890153
-9.69417,18,8003.648154
-13.35945,26,8094.9909
-20.478977,32,8208.513264
-8.455891,20,8286.103002
-11.478811,19,8352.194618
-8.455256,18,8415.348713
-3.122011,8,8456.620791
-6.154373,11,8506.733481
-5.044327,10,8553.975456
-3.627146,8,8595.836109
-6.803639,17,8656.034514
-7.777258,14,8707.410597
-4.802282,9,8746.55421
-10.477154,23,8826.575263
-8.967535,20,8902.851433
-8.157547,13,8958.024644
-64.720631,101,9023.659614
-10.439058,21,9102.311201
-6.460864,13,9158.442748
-6.366918,12,9212.606314
-12.547864,31,9315.819526
-5.880728,12,9370.42432
-8.399981,28,9468.48992
-18.542085,44,9602.346272
-5.264311,14,9655.713971
-7.10368,13,9713.223592
-12.986247,26,9809.897444
-7.931626,15,9865.214567
-10.278494,24,9952.843126
-14.970518,26,10041.061177
-7.574623,13,10091.037261
-6.797364,13,10141.18102
-6.766452,13,10192.618131
-10.013326,23,10277.730588
-10.760117,19,10351.7823
-24.477029,42,10467.523061
-11.007839,28,10564.950599
-11.686939,21,10638.30233
-8.916077,20,10713.348343
-2.710745,6,10750.066833
-7.166744,20,10820.573659
-11.878116,28,10913.4445
-3.824863,8,10955.588428
-6.095071,13,11008.9869
-9.432143,21,11087.866146
-53.162363,101,11152.715092
-4.256005,9,11196.280702
-16.653715,37,11319.585428
-7.330459,14,11374.945283
-7.329012,13,11429.691508
-13.707807,27,11526.203727
-5.118797,10,11573.102496
-6.862271,12,11625.927893
