srl_model_path,methods,rl_algo,mean_reward_1000000,stderr_reward_1000000,mean_reward_2000000,stderr_reward_2000000,mean_reward_3000000,stderr_reward_3000000,mean_reward_5000000,stderr_reward_5000000
,raw_pixels,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-26_22h29_07_custom_cnn_ST_DIM2_reward/srl_model.pth,reward,acktr,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-07_23h45_28_custom_cnn_ST_DIM2_reward/srl_model.pth,reward,ppo2,,,,,,,,
,ground_truth,acer,,,,,,,,
,ground_truth,acktr,,,,,,,,
,ground_truth,a2c,,,,,,,,
,ground_truth,ppo2,,,,,,,,
,ground_truth,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-07_02h02_20_custom_cnn_ST_DIM2_autoencoder/srl_model.pth,autoencoder,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-07_02h02_20_custom_cnn_ST_DIM2_autoencoder/srl_model.pth,autoencoder,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-27_15h02_03_custom_cnn_ST_DIM2_inverse_autoencoder/srl_model.pth,srl_combination,acer,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-12_14h55_16_custom_cnn_ST_DIM22_autoencoder_inverse/srl_model.pth,srl_combination,acktr,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-27_15h02_03_custom_cnn_ST_DIM2_inverse_autoencoder/srl_model.pth,srl_combination,a2c,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-27_15h02_03_custom_cnn_ST_DIM2_inverse_autoencoder/srl_model.pth,srl_combination,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-08_01h05_03_custom_cnn_ST_DIM2_inverse_autoencoder/srl_model.pth,srl_combination,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/19-04-07_15h24_23_custom_cnn_ST_DIM2_reward_autoencoder/srl_model.pth,autoencoder_reward,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-08_00h41_22_custom_cnn_ST_DIM2_vae/srl_model.pth,vae,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-08_00h41_22_custom_cnn_ST_DIM2_vae/srl_model.pth,vae,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/baselines/supervised_resnet_SEED1_EPOCHS50_BS32/srl_supervised_model.pth,supervised,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-27_01h28_38_custom_cnn_ST_DIM2_priors/srl_model.pth,robotic_priors,acktr,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-07_23h58_39_custom_cnn_ST_DIM2_priors/srl_model.pth,robotic_priors,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/baselines/pca_ST_DIM3/pca.pkl,pca,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-26_23h07_22_custom_cnn_ST_DIM2_forward/srl_model.pth,forward,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-12_14h55_16_custom_cnn_ST_DIM22_autoencoder_inverse/srl_model.pth,srl_splits,acer,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-12_14h55_16_custom_cnn_ST_DIM22_autoencoder_inverse/srl_model.pth,srl_splits,acktr,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-12_14h55_16_custom_cnn_ST_DIM22_autoencoder_inverse/srl_model.pth,srl_splits,a2c,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-12_14h55_16_custom_cnn_ST_DIM22_autoencoder_inverse/srl_model.pth,srl_splits,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-26_23h43_25_custom_cnn_ST_DIM22_autoencoder_inverse/srl_model.pth,srl_splits,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-26_15h49_33_custom_cnn_ST_DIM2_inverse/srl_model.pth,inverse,acer,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-26_15h49_33_custom_cnn_ST_DIM2_inverse/srl_model.pth,inverse,acktr,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-07_23h05_52_custom_cnn_ST_DIM2_inverse/srl_model.pth,inverse,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-07_23h05_52_custom_cnn_ST_DIM2_inverse/srl_model.pth,inverse,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/19-02-08_00h15_14_custom_cnn_ST_DIM2_dae/srl_model.pth,dae,ppo2,,,,,,,,
srl_zoo/logs/baxter_real_2/19-03-26_16h29_36_custom_cnn_ST_DIM2_dae/srl_model.pth,dae,deepq,,,,,,,,
srl_zoo/logs/baxter_real_2/19-04-08_16h28_08_custom_cnn_ST_DIM52_reward_inverse_forward/srl_model.pth,srl_3_splits,ppo2,,,,,,,,
