#{"t_start": 1553370771.0947318, "env_id": "Baxter-v0"}
r,l,t
-2.972782,19,145.745395
-0.950173,7,213.172887
-2.200455,8,289.082041
-1.26929,9,360.904459
-3.538053,17,501.303422
-3.93618,20,675.827848
-4.30546,15,775.072114
-6.503649,23,914.873656
-7.155622,26,1059.984496
-6.519202,20,1162.683764
-3.633739,22,1291.140843
-2.7054,13,1350.905099
-2.627166,9,1415.922573
-7.832174,29,1530.982607
-1.930092,10,1588.9158
-10.156875,33,1754.141299
-1.104622,7,1803.431094
-3.807185,23,1926.308466
-14.291247,46,2136.08017
